origin-city,origin-state,destination-city,destination-state,hours
Decatur,Alabama,Boston,Mass.,40.50
Decatur,Alabama,New York,N.Y.,33.50
Decatur,Alabama,Philadelphia,Pa.,29.00
Decatur,Alabama,Baltimore,Md.,27.42
Decatur,Alabama,Washington,D.C.,26.50
Decatur,Alabama,Pittsburg,Pa.,33.67
Decatur,Alabama,Chicago,Ill.,24.00
Decatur,Alabama,Charleston,S.C.,30.08
Decatur,Alabama,Cincinnati,Ohio,20.00
Decatur,Alabama,Saint Louis,Mo.,17.00
Decatur,Alabama,Omaha,Nebr.,32.50
Decatur,Alabama,San Francisco,Cal.,97.42
Mobile,Alabama,Boston,Mass.,37.00
Mobile,Alabama,New York,N.Y.,30.50
Mobile,Alabama,Philadelphia,Pa.,27.00
Mobile,Alabama,Baltimore,Md.,24.00
Mobile,Alabama,Washington,D.C.,23.00
Mobile,Alabama,Pittsburg,Pa.,38.00
Mobile,Alabama,Chicago,Ill.,40.00
Mobile,Alabama,Charleston,S.C.,28.58
Mobile,Alabama,Cincinnati,Ohio,25.67
Mobile,Alabama,Saint Louis,Mo.,29.42
Mobile,Alabama,Omaha,Nebr.,47.50
Mobile,Alabama,San Francisco,Cal.,112.25
Montgomery,Alabama,Boston,Mass.,34.00
Montgomery,Alabama,New York,N.Y.,26.00
Montgomery,Alabama,Philadelphia,Pa.,23.00
Montgomery,Alabama,Baltimore,Md.,20.00
Montgomery,Alabama,Washington,D.C.,19.00
Montgomery,Alabama,Pittsburg,Pa.,35.00
Montgomery,Alabama,Chicago,Ill.,81.00
Montgomery,Alabama,Charleston,S.C.,21.83
Montgomery,Alabama,Cincinnati,Ohio,22.67
Montgomery,Alabama,Saint Louis,Mo.,24.00
Montgomery,Alabama,Omaha,Nebr.,41.50
Montgomery,Alabama,San Francisco,Cal.,106.75
Prescott,Arizona Territory,Boston,Mass.,102.83
Prescott,Arizona Territory,New York,N.Y.,94.00
Prescott,Arizona Territory,Philadelphia,Pa.,94.00
Prescott,Arizona Territory,Baltimore,Md.,94.50
Prescott,Arizona Territory,Washington,D.C.,95.33
Prescott,Arizona Territory,Pittsburg,Pa.,87.00
Prescott,Arizona Territory,Chicago,Ill.,85.92
Prescott,Arizona Territory,Charleston,S.C.,120.75
Prescott,Arizona Territory,Cincinnati,Ohio,84.83
Prescott,Arizona Territory,Saint Louis,Mo.,65.50
Prescott,Arizona Territory,Omaha,Nebr.,70.00
Prescott,Arizona Territory,San Francisco,Cal.,40.58
Tucson,Arizona Territory,Boston,Mass.,108.83
Tucson,Arizona Territory,New York,N.Y.,100.83
Tucson,Arizona Territory,Philadelphia,Pa.,100.67
Tucson,Arizona Territory,Baltimore,Md.,100.92
Tucson,Arizona Territory,Washington,D.C.,101.92
Tucson,Arizona Territory,Pittsburg,Pa.,90.50
Tucson,Arizona Territory,Chicago,Ill.,89.67
Tucson,Arizona Territory,Charleston,S.C.,115.00
Tucson,Arizona Territory,Cincinnati,Ohio,90.50
Tucson,Arizona Territory,Saint Louis,Mo.,70.67
Tucson,Arizona Territory,Omaha,Nebr.,76.50
Tucson,Arizona Territory,San Francisco,Cal.,42.25
Fort Smith,Arkansas,Boston,Mass.,66.83
Fort Smith,Arkansas,New York,N.Y.,58.00
Fort Smith,Arkansas,Philadelphia,Pa.,55.00
Fort Smith,Arkansas,Baltimore,Md.,57.00
Fort Smith,Arkansas,Washington,D.C.,56.00
Fort Smith,Arkansas,Pittsburg,Pa.,41.83
Fort Smith,Arkansas,Chicago,Ill.,35.50
Fort Smith,Arkansas,Charleston,S.C.,76.75
Fort Smith,Arkansas,Cincinnati,Ohio,36.50
Fort Smith,Arkansas,Saint Louis,Mo.,20.50
Fort Smith,Arkansas,Omaha,Nebr.,29.50
Fort Smith,Arkansas,San Francisco,Cal.,88.58
Helena,Arkansas,Boston,Mass.,70.83
Helena,Arkansas,New York,N.Y.,64.00
Helena,Arkansas,Philadelphia,Pa.,62.00
Helena,Arkansas,Baltimore,Md.,63.50
Helena,Arkansas,Washington,D.C.,62.33
Helena,Arkansas,Pittsburg,Pa.,50.00
Helena,Arkansas,Chicago,Ill.,39.25
Helena,Arkansas,Charleston,S.C.,76.75
Helena,Arkansas,Cincinnati,Ohio,38.83
Helena,Arkansas,Saint Louis,Mo.,28.00
Helena,Arkansas,Omaha,Nebr.,68.00
Helena,Arkansas,San Francisco,Cal.,96.75
Hot Springs,Arkansas,Boston,Mass.,53.83
Hot Springs,Arkansas,New York,N.Y.,55.00
Hot Springs,Arkansas,Philadelphia,Pa.,52.00
Hot Springs,Arkansas,Baltimore,Md.,54.00
Hot Springs,Arkansas,Washington,D.C.,53.00
Hot Springs,Arkansas,Pittsburg,Pa.,40.83
Hot Springs,Arkansas,Chicago,Ill.,34.50
Hot Springs,Arkansas,Charleston,S.C.,58.75
Hot Springs,Arkansas,Cincinnati,Ohio,33.50
Hot Springs,Arkansas,Saint Louis,Mo.,21.50
Hot Springs,Arkansas,Omaha,Nebr.,42.50
Hot Springs,Arkansas,San Francisco,Cal.,90.75
Little Rock,Arkansas,Boston,Mass.,50.83
Little Rock,Arkansas,New York,N.Y.,45.00
Little Rock,Arkansas,Philadelphia,Pa.,43.00
Little Rock,Arkansas,Baltimore,Md.,41.00
Little Rock,Arkansas,Washington,D.C.,40.00
Little Rock,Arkansas,Pittsburg,Pa.,32.83
Little Rock,Arkansas,Chicago,Ill.,24.50
Little Rock,Arkansas,Charleston,S.C.,51.75
Little Rock,Arkansas,Cincinnati,Ohio,25.50
Little Rock,Arkansas,Saint Louis,Mo.,12.50
Little Rock,Arkansas,Omaha,Nebr.,36.50
Little Rock,Arkansas,San Francisco,Cal.,94.58
Los Angeles,California,Boston,Mass.,111.00
Los Angeles,California,New York,N.Y.,114.00
Los Angeles,California,Philadelphia,Pa.,112.00
Los Angeles,California,Baltimore,Md.,111.00
Los Angeles,California,Washington,D.C.,112.50
Los Angeles,California,Pittsburg,Pa.,96.50
Los Angeles,California,Chicago,Ill.,84.50
Los Angeles,California,Charleston,S.C.,119.50
Los Angeles,California,Cincinnati,Ohio,95.83
Los Angeles,California,Saint Louis,Mo.,83.50
